istanza,Q,n,K,obiettivo,variante,stato,obj,bound,gap,tempo,nodi_bb,veicoli,costo,regret,regret_grezzo,regret_max,regret_max_grezzo,rifiuti,ar,regret_medio_servito,time_limit,mip_gap,nota
Trieste_Q3.40.1,3,40,6,fr,II,ottimo,218.52719999999908,218.52719999999908,0.0,0.3560001850128174,1.0,6,298.5338,218.52719999999994,218.52719999999923,24.986800000000002,24.986799999999974,0,100.0,5.463179999999999,600.0,0.0,
Trieste_Q3.40.1,3,40,6,fcr,II,ottimo,516.6093999999944,516.6093999999944,0.0,0.375,1.0,6,297.2034,219.40599999999995,219.40599999999552,24.986800000000002,24.986799999999974,0,100.0,5.485149999999999,600.0,0.0,
Trieste_Q3.40.1,3,40,6,frcr,II,ottimo,374.3505999999999,374.3505999999993,0.0,0.2349998950958252,1.0,6,223.62740000000002,10.723199999999991,10.723199999999935,2.641999999999996,2.641999999999996,7,82.5,0.32494545454545426,600.0,0.0,
Trieste_Q3.40.1,3,40,6,frmax,II,ottimo,24.986799999999974,24.986799999999974,0.0,0.11799979209899902,1.0,6,302.6384,266.3047999999998,323.22059999999703,24.986800000000002,24.986799999999974,0,100.0,6.657619999999994,600.0,0.0,
Trieste_Q3.40.1,3,40,6,fcrmax,II,ottimo,493.27659999999975,493.27659999999975,0.0,0.2090001106262207,1.0,6,293.3822,239.71399999999986,335.0433999999995,24.986800000000002,24.986799999999974,0,100.0,5.992849999999996,600.0,0.0,
Trieste_Q3.40.3,3,40,7,fc,II,ottimo,248.4016,248.4016,0.0,0.04700016975402832,1.0,7,248.4016,229.82499999999993,287.19699999999773,23.87440000000001,23.87440000000001,0,100.0,5.745624999999999,600.0,0.0,
Trieste_Q3.40.3,3,40,7,fr,II,ottimo,85.82279999999857,85.82279999999857,0.0,0.21399998664855957,1.0,7,283.9126,85.82280000000003,85.82279999999919,18.463200000000015,18.4631999999999,0,100.0,2.1455700000000006,600.0,0.0,
Trieste_Q3.40.3,3,40,7,fcr,II,ottimo,356.63339999999914,356.63339999999914,0.0,0.2219998836517334,1.0,7,268.4654,88.16800000000003,88.16799999999967,18.463200000000015,18.463200000000015,0,100.0,2.204200000000001,600.0,0.0,
Trieste_Q3.40.3,3,40,7,frcr,II,ottimo,326.89739999999904,326.89739999999904,0.0,0.0710000991821289,1.0,7,254.13500000000002,32.762400000000014,32.7623999999993,10.877600000000001,10.877599999999916,2,95.0,0.8621684210526319,600.0,0.0,
Trieste_Q3.40.3,3,40,7,frmax,II,ottimo,18.463199999999826,18.463199999999826,0.0,0.04200005531311035,1.0,7,299.81690000000003,194.6868000000001,211.6883999999955,18.463200000000015,18.46319999999993,0,100.0,4.867170000000002,600.0,0.0,
Trieste_Q3.40.3,3,40,7,fcrmax,II,ottimo,407.04690000000016,407.0469000000001,0.0,0.06599998474121094,1.0,7,259.3413,196.0255999999999,299.1113999999997,18.463200000000015,18.463200000000015,0,100.0,4.900639999999997,600.0,0.0,
Trieste_Q3.40.4,3,40,7,fc,II,ottimo,261.5887,261.5886999999999,0.0,0.3259999752044678,1.0,7,261.5887,275.7151999999997,364.3556000000005,28.966000000000008,31.33720000000001,0,100.0,6.892879999999993,600.0,0.0,
Trieste_Q3.40.4,3,40,7,fr,II,ottimo,120.60839999999165,120.60839999999143,0.0,0.4460000991821289,468.0,7,292.57349999999997,120.6083999999999,120.60839999999186,13.279999999999973,13.279999999999859,0,100.0,3.0152099999999975,600.0,0.0,
Trieste_Q3.40.4,3,40,7,fcr,II,ottimo,410.4830999999991,410.4830999999991,0.0,0.4869999885559082,653.0,7,287.0095,123.47359999999989,123.47359999999912,13.279999999999973,13.279999999999973,0,100.0,3.0868399999999974,600.0,0.0,
Trieste_Q3.40.4,3,40,7,frcr,II,ottimo,345.8625,345.8624999999997,0.0,0.17400002479553223,1.0,7,234.4401,31.42239999999999,31.422400000000017,8.101599999999998,8.101599999999998,4,90.0,0.8728444444444441,600.0,0.0,
Trieste_Q3.40.4,3,40,7,frmax,II,ottimo,13.279999998571693,13.279999998571693,0.0,0.24899983406066895,1.0,7,285.1457,186.43559999999997,244.6556058375386,13.279999999999973,13.279999999999696,0,100.0,4.660889999999999,600.0,0.0,
Trieste_Q3.40.4,3,40,7,fcrmax,II,ottimo,378.1136999999994,378.1136999999994,0.0,0.5079998970031738,170.0,7,271.8609,190.84319999999983,241.20759999999973,13.281600000000012,13.281600000000026,0,100.0,4.771079999999996,600.0,0.0,
Trieste_Q3.40.5,3,40,6,fc,II,ottimo,245.66450000000003,245.66449999999995,0.0,0.10500001907348633,1.0,6,245.6645,262.516,317.19479999999976,20.86,20.86,0,100.0,6.562900000000001,600.0,0.0,
Trieste_Q3.40.5,3,40,6,fr,II,ottimo,136.07199999999932,136.07199999999932,0.0,0.5929999351501465,203.0,6,278.6642,136.07200000000012,136.07199999999932,17.550800000000002,17.55079999999996,0,100.0,3.401800000000003,600.0,0.0,
Trieste_Q3.40.5,3,40,6,fcr,II,ottimo,410.8635999999995,410.8635999999995,0.0,0.4289999008178711,197.0,6,271.2988,139.56480000000008,139.56479999999954,16.384000000000007,16.384000000000007,0,100.0,3.489120000000002,600.0,0.0,
Trieste_Q3.40.5,3,40,6,frcr,II,ottimo,328.4752999999962,328.4752999999962,0.0,0.18900012969970703,1.0,6,230.1465,18.328800000000022,18.3287999999962,13.962800000000016,13.962800000000016,4,90.0,0.509133333333334,600.0,0.0,
Trieste_Q3.40.5,3,40,6,frmax,II,ottimo,14.860000000000003,14.860000000000003,0.0,0.07500004768371582,1.0,6,283.8819,194.77399999999997,226.03319999999584,14.86,14.86,0,100.0,4.869349999999999,600.0,0.0,
Trieste_Q3.40.5,3,40,6,fcrmax,II,ottimo,376.7169000000001,376.7169000000001,0.0,0.3810000419616699,1.0,6,257.8369,208.9984,288.746,14.86,14.860000000000014,0,100.0,5.22496,600.0,0.0,
Trieste_Q6.40.1,6,40,8,fc,II,ottimo,283.3072,283.3072,0.0,0.4610002040863037,32.0,8,283.30719999999997,181.08240000000004,248.49759999999998,14.91040000000001,15.0,0,100.0,4.5270600000000005,600.0,0.0,
Trieste_Q6.40.1,6,40,8,fr,II,ottimo,147.67239999999933,147.67239999999765,0.0,0.307999849319458,229.0,8,307.7979,147.67239999999998,147.6723999999993,14.508399999999966,14.508400000000023,0,100.0,3.6918099999999994,600.0,0.0,
Trieste_Q6.40.1,6,40,8,fcr,II,ottimo,443.2560999999998,443.2560999999998,0.0,0.35000014305114746,124.0,8,295.5837,147.67239999999998,147.67239999999978,14.508399999999966,14.508399999999966,0,100.0,3.6918099999999994,600.0,0.0,
Trieste_Q6.40.1,6,40,8,frcr,II,ottimo,322.3947999999998,322.3947999999996,0.0,0.0409998893737793,1.0,8,215.2352,7.159600000000001,7.159599999999742,4.042000000000002,4.041999999999916,5,87.5,0.20456000000000002,600.0,0.0,
